n   error 
572   9.19871118420572017756889935963023943E-0004
573   8.81863640093806302339338464628274510E-0004
574   8.35502258554278490429206251579958995E-0004
575   8.72383606879084898567600308366068112E-0004
576   8.88775090103535886522952910857755710E-0004
577   8.45441996536891688995155287377604413E-0004
578   8.62190014267327249981281127014855699E-0004
579   8.47208395712127573047309592586531412E-0004
580   8.76109552278604091928977558600112760E-0004
581   8.79044237872751764111513189980319072E-0004
582   8.50353042110551662782622186162492221E-0004
583   9.08510507082240659867561012293545692E-0004
584   8.55126543055477835804474698593000306E-0004
585   8.61045716656214662621852984278971876E-0004
586   8.50564463518748251861821952873885851E-0004
587   8.81441048877694185787489266218862199E-0004
588   8.57284121940578202039206713932180856E-0004
589   8.47471898265767478259909825464275719E-0004
590   8.35542358416576772291422571315326035E-0004
591   8.25579548259959998948585709700870074E-0004
592   8.42744873127153048261570772322928928E-0004
593   8.34011970152258682503501719327823554E-0004
594   8.67942922777604549312409577109164703E-0004
595   8.25050901490896801708585438164367051E-0004
596   8.48567623969757529977233166934052462E-0004
597   7.81504603955040363533894954825890862E-0004
598   8.34303998890261146181374782849114386E-0004
599   8.05927291964707000574459332328829581E-0004
600   8.38613466360964969673805171218250372E-0004
601   8.44879262022570603423648410373291482E-0004
602   8.32319917956518080051285067121351867E-0004
603   8.39265552399886078979846369389816184E-0004
604   8.00373981387410493362305605354738903E-0004
605   8.01331486969804408011648311023570387E-0004
606   8.10993222466831356765354162486745711E-0004
607   8.06521106305849557153569049592326405E-0004
608   8.42895633955701464816259671135818419E-0004
609   8.18950862040384633884535601924994663E-0004
610   8.53590097804865774394176428157711626E-0004
611   7.59893389550998538644427222867256312E-0004
612   7.94912923979309224958117670909203415E-0004
613   8.37209906910577832473592901989652268E-0004
614   8.35174683477372851312542608587519365E-0004
615   8.00455383923566435377273176679938422E-0004
616   8.13095410089363396400201028317923775E-0004
617   8.07275116825199044008121500129489960E-0004
618   8.17692046493668093629141126865558756E-0004
619   7.97480473707541426203881908555039209E-0004
620   7.94239385909325630466374037998222157E-0004
621   8.31598755412925961238412529571246978E-0004
622   7.82663011073570102023941614517301251E-0004
623   7.85831920459802279326077167994794305E-0004
624   8.03417228326427703865962777441794833E-0004
625   7.92194100970587277396739430524722023E-0004
626   7.47146052802503108978271484374983067E-0004
627   7.67575362436367089179233622320517227E-0004
628   8.20001591510423498568338077770378265E-0004
629   8.01334170414736522608361644064674488E-0004
630   8.24639761403827205080038244602595718E-0004
631   7.75538871860712143419130709286028933E-0004
632   7.70731395077801909768594953187890365E-0004
633   7.83047284308669945689810905829391222E-0004
634   7.63282881850356843110473989558848045E-0004
